Contact Id,Tag Added,Should have Added,Status
3Yq7dU3JZXRo2TGHTHpH,no,no,not-effected
n61NpwFbpwqBp4Q8faHf,yes,question not found - skip add tag,effected
ox0ItRAjPTQ3JJ15IhkT,yes,question not found - skip add tag,effected
EES7NBuD3jLBZ1qmai2d,yes,question not found - skip add tag,effected
EGcTHd3oyuFH1q1OM8Op,no,no,not-effected
Q6IwpNgtJqyD1Ntpfk8H,yes,question found but answer not found - add tag,not-effected
JsRtQWt0EqNYRonTTXjq,yes,question not found - skip add tag,effected
gOlyN8zcVuY0ve4CpB4F,yes,question not found - skip add tag,effected
KYtkDnDHew0tUoc9FUXX,yes,question found but answer not found - add tag,not-effected
EcKyH0PkKe0mjc5UicTs,no,no,not-effected
E17bcoCLN23xhn0DtizA,yes,question not found - skip add tag,effected
enqg78CeW3rkDoymY6Fz,yes,question not found - skip add tag,effected
t4bwWVLJIq3HLvCQLGgo,yes,question not found - skip add tag,effected
PCmL5JknkAx5rLoemUH9,yes,question not found - skip add tag,effected
2I1QYDotnzYIwkcRLaVx,yes,question found but answer not found - add tag,not-effected
T3BD6JJLPgiT6afnYRzg,yes,question not found - skip add tag,effected
L8a8KDKQRRMYdPDWFlau,no,no,not-effected
P2t9uDnJNMzTsNWDcMUL,yes,question not found - skip add tag,effected
WsECkV6VfKZrvvmSIYzF,no,no,not-effected
z5VHYES3kGxNpePZUkWu,yes,question found but answer not found - add tag,not-effected
RTVdPDK45xHnJOQWbtf6,yes,question not found - skip add tag,effected
ytL1Y6fA7vvNvpxaBNgq,yes,question not found - skip add tag,effected
ZdOnXYTHt25sijf0VhXD,yes,question not found - skip add tag,effected
W2qMXERyVCc8GRLplInN,yes,question not found - skip add tag,effected
72ug9T9d9vdI97JFO1wF,no,no,not-effected
jZ4tEMmuLEcuKYkCy4aW,no,no,not-effected
fUs8Nu4lIRN00mfT6QBz,yes,question not found - skip add tag,effected
iCm5Cr18E378kaCBRsCs,yes,question not found - skip add tag,effected
cAkz1wTeF7af2qErA9yv,no,no,not-effected
V8Zw2jjFOTF0bdkBg5Br,yes,question not found - skip add tag,effected
34n8xcmQ809JJtcoftY3,yes,question not found - skip add tag,effected
p1PI2puhlSVaoOfDHviL,yes,question not found - skip add tag,effected
gwEd5mCEdBH6JuLgOg1a,yes,question not found - skip add tag,effected
gecmKM87u2EIyJQ4NXN9,yes,question not found - skip add tag,effected
JUCCpaxuXdrUWlskpDGw,yes,question found but answer not found - add tag,not-effected
Df9IIKE1I3kMqmXGNJge,no,no,not-effected
XZ7jdu6ZF8Snp9B0zzmS,yes,question not found - skip add tag,effected
l8G1pXcp8p7ELtKrxRNB,yes,question not found - skip add tag,effected
Mzi6pJ93GLzB8QsgbpsU,no,no,not-effected
y0XyOPW4XIzAMCbPoDHh,yes,question not found - skip add tag,effected
9q3cKCp9MU9sgTzz6XcZ,yes,question found but answer not found - add tag,not-effected
dhN7uTNfxRLRCkypEvy0,no,no,not-effected
ZA08okOAxBePygruoZdA,yes,question not found - skip add tag,effected
b5gvGdw1T5Ef34ok9Hhn,yes,question found but answer not found - add tag,not-effected
fS2gUrUZMHn0mtiNTiZ2,yes,question not found - skip add tag,effected
vwoBjdePGf13XPRah8F2,no,no,not-effected
b1xS290R0nO9uBSIjuwW,yes,question not found - skip add tag,effected
4GshNrCwWQErrZagwreS,yes,question not found - skip add tag,effected
Fmo7BWcUludTzrOwqBrC,no,no,not-effected
OIyeqwY61SLT9QJimTOd,no,no,not-effected
FU0GkvbRWqCgWKpMfkyl,no,no,not-effected
nKhHtGITlb3bcmXMajO4,no,no,not-effected
96RrX2VdivNPmBAJ8Ry0,no,no,not-effected
jitTCpLSGsxS4DibLR5J,yes,question not found - skip add tag,effected
5DqVGoVPTAz6sqGlMu1L,no,no,not-effected
Kaei0Ophu7hfkiUtmEgf,no,no,not-effected
srsdMc68QVADYlyMgJmM,no,no,not-effected
SHw8sScxORtU2anVyN7k,no,no,not-effected
g1Q5syxJQ1Sx0znyvlF5,no,no,not-effected
qpxNe6vAiaNScVl6Ti6n,yes,question not found - skip add tag,effected
OOE33cXik0BLcMdbh2Ba,yes,question not found - skip add tag,effected
hR47Eb9KBdNGsiAqG9IC,yes,question not found - skip add tag,effected
MWwUY3A4nJYtnihmj614,no,no,not-effected
06N7kLeb86yxG0g36jYm,yes,question found but answer not found - add tag,not-effected
aFgVDAUYMsr8ckOXbDmY,yes,question not found - skip add tag,effected
ong4Mm85Tb1ywjbKjPH6,yes,question found but answer not found - add tag,not-effected
B8SmhNwyhXn00hNLnpDM,no,no,not-effected
F0xFehe5f7FOFsBClRCF,no,no,not-effected
SrgEAV6Ay8YHHBSxJJ1N,yes,question not found - skip add tag,effected
Wl38Kx9NF4fODjJEZ5FK,no,no,not-effected
K9ZW1Q37CRWsavTFvRNZ,no,no,not-effected
3i6D5SxvY0c0R82vwRl2,yes,question found but answer not found - add tag,not-effected
ITAnLBe78rL4kcKrxoW4,yes,question found but answer not found - add tag,not-effected
oOgUTMR37wTkRGjxs40d,yes,question not found - skip add tag,effected
RqSOVXfqUBaoBr5H9hkP,yes,question found but answer not found - add tag,not-effected
yQHaXC6wkSysenrGZRyx,yes,question found but answer not found - add tag,not-effected
k8qY7XZJqKpUTGupFSby,yes,question not found - skip add tag,effected
9peVqg0RlCsrGBBimJSk,no,no,not-effected
rz68BRFuuKFow3f3GwlR,yes,question found but answer not found - add tag,not-effected
Pag1dlVM4uC9z3yrQcPj,yes,question found but answer not found - add tag,not-effected
zwgh8vxQGPG6pK5im6fK,no,no,not-effected
2oM3rZ0wXcy6HZ966wJu,yes,question found but answer not found - add tag,not-effected
QER5VJO0aJkcf1zdIVWv,no,no,not-effected
6V2uh0LMylF8ZpdVLe7O,no,no,not-effected
3a2JIgeHS84zkDCGbutO,no,no,not-effected
xNLrzVily68uz2MwFy7i,no,no,not-effected
nlCNAZiGf1W65n0GewkM,yes,question not found - skip add tag,effected
o4wac5N9Nc44KfJIOHN1,no,no,not-effected
WbsF6JF4KieRZqRwcnTN,yes,question found but answer not found - add tag,not-effected
KcVQiWIicBFPViOrVOaX,yes,question not found - skip add tag,effected
KSfYHqC7fOTHOgewOTLN,yes,question not found - skip add tag,effected
Lx2uh7bbuHAuDzdx638i,yes,question not found - skip add tag,effected
Nm9IZYTljvQmGKTIPtR6,no,no,not-effected
e85OnSi8QRZkY7RI34RS,no,no,not-effected
4o5igkoMjzPemq8CmQnZ,no,no,not-effected
kQthNSFvjYYCJv34zSsb,no,no,not-effected
kNMTh1sFzZptOhqUwdEj,yes,question not found - skip add tag,effected
2tw7oR7wqaXZlbloDjQY,yes,question not found - skip add tag,effected
qbpOSZsKbfi2ZeZtQgjR,yes,question found but answer not found - add tag,not-effected
brtdqlK7xKF3im3uEp94,yes,question not found - skip add tag,effected
hLKjCs5jJrwN0mP8BlhZ,yes,question not found - skip add tag,effected
sYUv7uE3kxIwDh0fPgYN,no,no,not-effected
SiIaxUFPSdIYd2NNM6BK,no,no,not-effected
q7avIRUn8vHQONx1rEKX,no,no,not-effected
PBCjgrYvV2d4jpkdEnxR,yes,question not found - skip add tag,effected
V6rw7kAr0kL3eaChH1gn,yes,question not found - skip add tag,effected
XwmAFtgNTOoBhj0oKqnN,yes,question not found - skip add tag,effected
SDf5nUeBQUEiqWdqZ0Rn,yes,question not found - skip add tag,effected
FcjikKfYOM5NYNt1Wo5w,no,no,not-effected
caFhwo6pU8Uus1ufPHj1,yes,question not found - skip add tag,effected
n6Q1MgVnKoKan0keVVcj,yes,question not found - skip add tag,effected
0sbCU5CwAYILkVqaaxEm,yes,question not found - skip add tag,effected
coF4VGGLmgmWdxKiMwBr,no,no,not-effected
XA7CiVz53QzgRe1dHspr,yes,question not found - skip add tag,effected
ZCRWAkja9jdJG0hG4vfs,yes,question not found - skip add tag,effected
Z2H6JknXvh3tcDtJWusb,no,no,not-effected
qeyA7dsxmYBG5OA2Cnza,yes,question not found - skip add tag,effected
fxreHCqzL6vHnzpDnvEh,yes,question found but answer not found - add tag,not-effected
